region_num,med_0,mean1_0,mean2_0,med_1,mean1_1,mean2_1,med_d,mean1_d,mean2_d
1,18.891910,18.891910,18.891910,55.607868,55.607868,55.607868,36.715958,36.715958,36.715958,
2,21.459914,21.848224,23.359090,55.667783,55.494622,60.192038,34.207869,33.646398,36.832948,
3,13.521042,13.380103,15.882017,26.556250,16.126284,16.807133,13.035208,2.746182,0.925116,
4,26.382011,31.288859,36.519315,23.425590,38.347570,37.525559,-2.956420,7.058710,1.006243,
