region,year,gdp,ftrd,im,ex,go,tbe,exf,imf,imi,exi,gtrd,ishare,itrd
USA,2002,10674323.4579,926016.269903,1281712.49893,903145.924201,18873334.9336,-378566.574725,289204.778753,636811.49115,644901.007776,613941.145448,2184858.42313,0.576166464563,1258842.15322
USA,2003,11174663.3043,985353.268967,1391176.22236,945047.321788,19828498.0708,-446128.900574,302683.947592,682669.321375,708506.900987,642363.374196,2336223.54415,0.578228174511,1350870.27518
USA,2004,11913737.4241,1058393.85049,1624997.1179,1073132.50052,21264711.1011,-551864.617378,329327.042341,729066.808147,895930.30975,743805.458178,2698129.61842,0.607730539236,1639735.76793
USA,2005,12692695.338,1155844.32226,1834853.23906,1187011.25695,23072266.0366,-647841.982115,364315.41952,791528.902738,1043324.33632,822695.837426,3021864.49601,0.617506237032,1866020.17375
USA,2006,13459164.4227,1272201.22263,2032551.14639,1348900.28093,24479922.1099,-683650.865463,410171.02112,862030.201509,1170520.94488,938729.259805,3381451.42731,0.623770664765,2109250.20468
USA,2007,14126148.6559,1373700.28189,2161402.76477,1530925.40128,25795266.0791,-630477.363495,461487.001722,912213.280172,1249189.4846,1069438.39955,3692328.16605,0.627958236614,2318627.88415
USA,2008,14437014.141,1417546.81235,2337644.78272,1641838.62877,26565031.9617,-695806.153949,499272.210714,918274.601631,1419370.18109,1142566.41806,3979483.41149,0.643786224048,2561936.59914
USA,2009,14166215.0299,1201149.37625,1779776.50921,1402113.6718,24802899.209,-377662.837413,432869.59354,768279.782708,1011496.7265,969244.078257,3181890.18101,0.622504452411,1980740.80476
USA,2010,14589839.4825,1368632.90623,2142527.39731,1634458.29273,25810105.9448,-508069.104574,500831.75789,867801.148339,1274726.24897,1133626.53484,3776985.69004,0.637638842573,2408352.78381
USA,2011,15161181.732,1511911.97394,2398985.40107,1841074.10169,26918120.3308,-557911.29938,563485.811966,948426.161972,1450559.23909,1277588.28972,4240059.50275,0.643421991376,2728147.52881
ROW,1995,3100061.90846,573637.144884,1058937.17818,701304.799722,6003296.72859,-357632.378457,218701.768847,354935.376037,704001.802142,482603.030875,1760241.9779,0.674114609193,1186604.83302
ROW,1996,3310373.44134,608284.107376,1116736.06997,776487.371645,6424492.30467,-340248.698328,241861.250671,366422.856705,750313.213268,534626.120974,1893223.44162,0.678704534286,1284939.33424
ROW,1997,3370415.7931,499730.134907,1044258.25784,635985.072397,6543783.60858,-408273.185438,179595.518916,320134.615991,724123.641844,456389.553481,1680243.33023,0.702584663831,1180513.19533
ROW,1998,3221261.53183,547210.457182,1011695.45784,643545.399171,6264479.68288,-368150.058673,207666.89547,339543.561712,672151.896132,435878.503701,1655240.85701,0.669407352493,1108030.39983
ROW,1999,3257066.90428,590379.358304,1054009.4819,824736.142711,6333545.30128,-229273.33919,263024.594446,327354.763858,726654.718043,561711.548265,1878745.62461,0.685758758094,1288366.26631
ROW,2000,3398412.99874,661132.326773,1179943.33722,1081819.67014,6598368.92172,-98123.667086,311734.370381,349397.956392,830545.380831,770085.299756,2261763.00736,0.707691599597,1600630.68059
ROW,2001,3375819.89117,688184.216982,1176102.18327,1089314.4829,6585685.88599,-86787.700367,332097.360668,356086.856314,820015.326952,757217.122231,2265416.66617,0.696221791223,1577232.44918
