,country,year,div,fa_risky_frac,fl_risky_frac,fa_safe_frac,fl_safe_frac,fdia_frac,fdil_frac,risky_frac_assets,safe_frac_liabilities,weight1,weight2
62,ALB,1990,,,,,,,,,,8111.07907252,2091.43974417
63,ALB,1991,,,,,,,,,,7592.70843957,1255.26090722
64,ALB,1992,,,,,,,,,,5413.10357758,794.276904767
65,ALB,1993,7.90824644564,0.0,0.840980073014,3.97897694089,10.9965358774,0.0,0.840980073014,0.0,92.8956372558,7709.74421373,1375.63442835
66,ALB,1994,7.01504072138,0.0,1.01748126988,4.1124804222,8.90011975068,0.0,1.01748126988,0.0,89.7406513151,10498.5204351,2223.28473963
67,ALB,1995,4.78193732118,0.0,1.30551418406,4.3912266549,3.86713380341,0.0,1.30551418406,0.0,74.7612018599,11958.3560703,2713.82069867
68,ALB,1996,4.10646625718,0.0,1.36597737201,3.92341390756,2.9235412348,0.0,1.36597737201,0.0,68.1554622508,16926.6326964,3013.18660287
69,ALB,1997,6.24222636588,0.0,2.3231961006,5.51839022248,4.64286640868,0.0,2.3231961006,0.0,66.6497953829,11308.6928222,2196.22358555
70,ALB,1998,6.50532271868,0.0,2.48613727458,5.8333325849,4.69117557789,0.0,2.46039640963,0.0,65.3611689266,13528.1264829,2729.03079782
71,ALB,1999,7.66770560573,0.0,2.65705153757,7.09101240691,5.58734726697,0.0,2.60739430672,0.0,67.7714336659,13998.7983959,3430.22659726
72,ALB,2000,10.4057572705,0.0,3.56127975848,8.64879560186,8.60143918062,0.0,3.48229175728,0.0,70.7197068656,13508.9543487,3640.01864449
73,ALB,2001,11.5538671469,0.0,4.71567884183,10.0993260213,8.29272943071,0.0,4.61704969604,0.0,63.7489941657,14340.7299882,4065.28647943
74,ALB,2002,11.6587936358,0.0,5.20439769196,10.1445264312,7.96866314846,0.0,5.09665334916,0.0,60.4921152722,15285.5607692,4435.07759494
75,ALB,2003,11.1961038004,0.0,5.58883364175,9.04014745524,7.76322650383,0.0,5.49509122486,0.0,58.1425369507,20860.9676464,5746.95195326
76,ALB,2004,9.36191796187,0.0836356032156,5.23859558212,7.9347592732,5.46684546521,0.0836356032156,5.15139781118,1.0430467008,51.0660461446,30186.3744768,7351.88702692
77,ALB,2005,8.89751523333,0.0610101974941,4.64081911318,6.86871455585,6.22448660014,0.0610101974941,4.55687653013,0.880412998578,57.2877263132,35089.5425251,8212.72616807
78,ALB,2006,8.64046287238,0.0870674324477,4.55719193676,6.95181839159,5.68484798397,0.0870674324477,4.47840908644,1.23694906586,55.5050363792,44771.578651,9001.35545597
79,ALB,2007,8.62675371669,0.141082418368,5.25490528889,6.39035052278,5.46716920334,0.141057996488,5.09346543568,2.1600530793,50.9898453634,54984.5553445,10698.2252108
80,ALB,2008,8.03995599673,0.231266957376,4.67886089368,5.14882616811,6.0209579743,0.229757549034,4.52346174397,4.29856792405,56.271587852,67582.0190344,13003.3798368
81,ALB,2009,9.64624652376,0.293719232508,5.89653175139,5.66985701174,7.43238505188,0.293025110823,5.72584491383,4.92521970841,55.7613582677,61059.2660853,12168.2583834
82,ALB,2010,10.3101079082,0.265156717476,6.28038175811,6.3051867437,7.76949059709,0.264108837476,6.11410690587,4.03565991706,55.2993678566,62548.8505809,11892.943662
83,ALB,2011,10.3207775173,0.299598935315,6.20436846182,6.20206752254,7.93552011497,0.281526322289,6.03173396495,4.60803299058,56.1215180153,69993.2392365,12968.3468631
84,,1970,,,,,,,,1.48032261715,52.3413795784,,7373.94814585
85,,1971,,,,,,,,1.18157994148,64.1351915164,,7458.24452697
86,,1972,,,,,,,,1.20734143057,68.1411740208,,9328.45275323
87,,1973,,,,,,,,0.636802115732,79.4051365067,,12075.2185076
88,,1974,,,,,,,,0.303272711081,74.795825737,,12132.6753875
