i s j r m
1 1 1 1 5514335.08
1 1 2 1 202081.87
1 1 3 1 176690.5
1 1 4 1 132276.9
2 1 1 1 180078.58
2 1 2 1 11960655.42
2 1 3 1 486826.65
2 1 4 1 379923.47
3 1 1 1 174583.97855
3 1 2 1 487864.623459
3 1 3 1 3058068.26979
3 1 4 1 367129.486305
4 1 1 1 229360.518168
4 1 2 1 506777.893956
4 1 3 1 328164.381894
4 1 4 1 1838932.03103

