i s j r m
1 1 1 1 5584844.08892
1 1 2 1 245991.853604
1 1 3 1 92910.042564
1 1 4 1 123586.070488
2 1 1 1 270973.342089
2 1 2 1 12167615.8438
2 1 3 1 259280.69986
2 1 4 1 359524.11609
3 1 1 1 108526.525854
3 1 2 1 248488.384871
3 1 3 1 3618926.86921
3 1 4 1 143521.898596
4 1 1 1 186214.822335
4 1 2 1 337123.090801
4 1 3 1 94301.4487787
4 1 4 1 2305743.30741

