i j r c x
1 1 1 5772310.87732 1172266.45643
1 2 1 97712.5548062 114945.639519
1 3 1 79366.9560081 36012.3794512
1 4 1 57171.9731387 27257.9915975
2 1 1 77297.9427487 50876.6427788
2 2 1 10498286.1553 3229020.2832
2 3 1 134309.560744 33840.8576342
2 4 1 106015.947333 31760.6431929
3 1 1 19309.9443318 19376.5677004
3 2 1 61513.0749797 70624.9108918
3 3 1 2702058.92144 1041806.04546
3 4 1 26630.4311942 9066.66583752
4 1 1 33024.2991234 21711.8891333
4 2 1 97696.7752956 111134.10248
4 3 1 27332.1726545 25150.9485983
4 4 1 2654523.2115 719146.061504

