i s j r m
1 1 1 1 5564804.26644
1 1 2 1 261470.692471
1 1 3 1 95152.3663882
1 1 4 1 103957.023587
2 1 1 1 228785.358528
2 1 2 1 12275066.8189
2 1 3 1 235463.172813
2 1 4 1 268168.77441
3 1 1 1 94560.9912683
3 1 2 1 241701.145168
3 1 3 1 3640906.98406
3 1 4 1 110477.237609
4 1 1 1 197436.197473
4 1 2 1 399022.633256
4 1 3 1 107542.972852
4 1 4 1 2199233.02146

