i s j r m
1 1 1 1 5564804.27
1 1 2 1 276747.28
1 1 3 1 100571.08
1 1 4 1 107793.53
2 1 1 1 246665.09
2 1 2 1 12275066.82
2 1 3 1 256023.67
2 1 4 1 286055.76
3 1 1 1 101354.309017
3 1 2 1 261633.543798
3 1 3 1 3640906.98406
3 1 4 1 117156.406629
4 1 1 1 204748.852206
4 1 2 1 417904.206552
4 1 3 1 112474.586954
4 1 4 1 2199233.02146

