i s j r m
1 1 1 1 4729918.13198
1 1 2 1 180476.609543
1 1 3 1 116656.907246
1 1 4 1 134452.017217
2 1 1 1 196398.431246
2 1 2 1 8557124.04847
2 1 3 1 291554.610189
2 1 4 1 350290.008019
3 1 1 1 132653.873904
3 1 2 1 275347.289215
3 1 3 1 7367236.97288
3 1 4 1 235825.347395
4 1 1 1 210360.377548
4 1 2 1 345246.17038
4 1 3 1 165274.684065
4 1 4 1 3565481.32909

