i j r c x
1 1 1 5867262.44248 1228430.4044
1 2 1 84646.3722366 98317.7775478
1 3 1 63645.3025884 28514.1230727
1 4 1 53722.2882166 25289.8786493
2 1 1 93673.1036778 57433.6168095
2 2 1 11025058.379 3279969.75328
2 3 1 127033.005645 29816.1628749
2 4 1 117496.663231 32790.2229791
3 1 1 26263.1562658 25175.577535
3 2 1 70538.6841204 77366.7805909
3 3 1 2621535.88167 980619.215091
3 4 1 33124.6619536 10773.5185088
4 1 1 30185.4645467 23756.7206627
4 2 1 75290.2092126 102525.110309
4 3 1 19498.4945129 21478.5974545
4 4 1 2153103.20519 674224.108949

