i s j r m
1 1 1 1 19290223.4492
1 1 2 1 268956.897797
1 1 3 1 109923.464891
1 1 4 1 126810.604804
2 1 1 1 219267.420225
2 1 2 1 34399420.0552
2 1 3 1 267042.044395
2 1 4 1 321141.01891
3 1 1 1 76352.7712081
3 1 2 1 205632.200628
3 1 3 1 38673281.9756
3 1 4 1 111462.117451
4 1 1 1 166102.197555
4 1 2 1 353708.712596
4 1 3 1 107063.493638
4 1 4 1 17912936.8951

