i s j r m
1 1 1 1 4713615.57154
1 1 2 1 198844.811415
1 1 3 1 126613.087731
1 1 4 1 122430.195288
2 1 1 1 179242.244037
2 1 2 1 8634217.59199
2 1 3 1 289794.325103
2 1 4 1 292112.9368
3 1 1 1 122484.178548
3 1 2 1 281082.407903
3 1 3 1 7408534.39971
3 1 4 1 198962.497235
4 1 1 1 223743.877698
4 1 2 1 405983.97576
4 1 3 1 191452.552215
4 1 4 1 3465182.15541

