i j r c x
1 1 1 12086532.771 2263027.24466
1 2 1 178799.277377 130719.657669
1 3 1 199292.809749 157207.982234
1 4 1 121742.982903 23859.049372
2 1 1 200270.627622 113235.491928
2 2 1 19297344.4023 4589952.05517
2 3 1 485711.596359 222650.761462
2 4 1 372977.80151 51540.0113647
3 1 1 104705.105383 86651.7913496
3 2 1 295152.939527 245921.654806
3 3 1 11125893.2374 5757901.28232
3 4 1 194130.407728 93780.2225874
4 1 1 84830.5990631 57986.6958954
4 2 1 358661.674513 183939.901933
4 3 1 199691.644635 188507.093986
4 4 1 7281710.50907 2518247.89234

