i s j r m
1 1 1 1 5584844.08889
1 1 2 1 233119.082211
1 1 3 1 88197.0780547
1 1 4 1 119224.099729
2 1 1 1 255279.655534
2 1 2 1 12167615.8438
2 1 3 1 242652.300418
2 1 4 1 341936.324844
3 1 1 1 101767.4273
3 1 2 1 231083.605388
3 1 3 1 3618926.86921
3 1 4 1 135868.456212
4 1 1 1 181141.279961
4 1 2 1 325223.43441
4 1 3 1 91126.8032539
4 1 4 1 2305743.30742

