i j r c x
1 1 1 4988004.53643 1040280.44356
1 2 1 65780.9594818 76108.3766602
1 3 1 84502.8529311 37711.480959
1 4 1 60814.4142464 28517.2289964
2 1 1 73037.6319801 44835.073535
2 2 1 7858021.28161 2340572.44392
2 3 1 154689.928496 36351.067
2 4 1 121988.251893 34084.4892434
3 1 1 33487.5980443 32876.48139
3 2 1 82217.63175 92355.112729
3 3 1 5220433.61672 1999953.8698
3 4 1 56240.5081083 18733.7254537
4 1 1 33881.7987901 27489.5808579
4 2 1 77251.6257399 108445.716101
4 3 1 34180.8899893 38815.147101
4 4 1 3218060.04316 1038835.07662

