i j r c x
1 1 1 5879782.33998 1237858.21353
1 2 1 79817.68805 92525.4202806
1 3 1 59913.2268998 26788.8823368
1 4 1 49763.1505706 23379.6675123
2 1 1 83536.7076676 51226.0266196
2 2 1 11061894.0037 3293044.00589
2 3 1 114039.271279 26770.2034292
2 4 1 103791.168969 28969.5200108
3 1 1 22779.5135448 21777.9654948
3 2 1 61692.8359823 67484.2214436
3 3 1 2638530.91837 995441.498819
3 4 1 28459.116119 9231.40596896
4 1 1 27787.0369695 21854.0617197
4 2 1 69886.410092 95101.1508998
4 3 1 18068.4488367 19889.6438915
4 4 1 2162335.47757 685139.680864

