i j r c x
1 1 1 5926949.17293 1218234.18687
1 2 1 96252.1392868 109753.563865
1 3 1 69612.7194857 30617.2938194
1 4 1 47489.8869675 21947.1391101
2 1 1 80793.2715939 51246.0543811
2 2 1 10704035.3581 3294355.46524
2 3 1 118632.42681 28805.3114507
2 4 1 88682.2621986 25602.9248757
3 1 1 23796.9182023 23271.258425
3 2 1 71946.1413294 80501.0054517
3 3 1 2571912.34352 981448.198227
3 4 1 26264.92712 8714.62962262
4 1 1 39382.304926 25952.9570385
4 2 1 110572.753131 126077.315935
4 3 1 27544.2469537 25405.7974688
4 4 1 2458210.44199 644548.466933

