i j r c x
1 1 1 12550153.8466 2220513.02744
1 2 1 213327.07103 147379.588775
1 3 1 243474.314417 181489.850233
1 4 1 137323.858143 25431.4674812
2 1 1 171732.13184 98789.9026839
2 2 1 19013617.1861 4601199.15256
2 3 1 490034.865115 228543.238403
2 4 1 347433.77036 48846.0262762
3 1 1 85295.5104486 73958.7484008
3 2 1 276272.923095 241180.213793
3 3 1 10663687.4672 5782164.30251
3 4 1 171793.458669 86951.6863566
4 1 1 80719.6259987 52989.8999357
4 2 1 392143.006688 193140.602739
4 3 1 223563.400367 202678.014127
4 4 1 7526875.95015 2499873.06735

