i s j r m
1 1 1 1 5534788.93632
1 1 2 1 183303.231952
1 1 3 1 165820.433028
1 1 4 1 141471.747593
2 1 1 1 199370.076673
2 1 2 1 11848491.7736
2 1 3 1 507905.861581
2 1 4 1 451716.412744
3 1 1 1 180824.259969
3 1 2 1 460235.936996
3 1 3 1 3038225.96672
3 1 4 1 408360.194423
4 1 1 1 223776.334836
4 1 2 1 450341.580173
4 1 3 1 301715.693951
4 1 4 1 1927401.21609

