i j r c x
1 1 1 5844309.172 1211145.9935
1 2 1 59901.8074238 81381.4143769
1 3 1 107693.497652 56434.5089137
1 4 1 57371.9284412 31590.2668795
2 1 1 69077.4794717 49343.7475609
2 2 1 10896551.7456 3234358.25073
2 3 1 251069.054762 68655.0926166
2 4 1 146562.871799 47652.6650431
3 1 1 47346.1139532 49086.9652282
3 2 1 142537.214185 169084.873696
3 3 1 2460568.73831 840231.129282
3 4 1 101010.317563 35532.1235197
4 1 1 36929.4095619 29214.4489942
4 2 1 103246.775126 141320.428335
4 3 1 63933.8152939 70790.0417355
4 4 1 2073967.37348 580659.61831

