i s j r m
1 1 1 1 10466122.1065
1 1 2 1 504266.105065
1 1 3 1 434176.905816
1 1 4 1 352373.565423
2 1 1 1 628350.881781
2 1 2 1 21365600.785
2 1 3 1 1167549.33107
2 1 4 1 1013467.61714
3 1 1 1 457506.281469
3 1 2 1 1156427.66323
3 1 3 1 22566453.5492
3 1 4 1 1152664.68546
4 1 1 1 368900.861103
4 1 2 1 1201865.24612
4 1 3 1 732152.626233
4 1 4 1 8927428.81663

