i j r c x
2 2 1 9983570.315202074 2878290.418718007
2 3 1 138175.93730599756 57954.87231800029
2 1 1 98402.2964609997 72014.68754999999
2 4 1 112766.60576200008 37390.41333400001
3 2 1 76287.91897099833 84990.75172399949
3 3 1 3096057.295694932 1053520.4117530056
3 1 1 33951.929321000054 39090.836607
3 4 1 32581.322780000097 18082.365559999955
1 2 1 156185.4689660001 161231.84649099986
1 3 1 112883.49547599991 77810.23130000003
1 1 1 7928005.317980999 1777929.704088
1 4 1 77412.14324499998 33501.5197
4 2 1 111331.40485699993 89583.16530099996
4 3 1 33680.196575 39197.932242000024
4 1 1 47892.738691999984 27712.518725000005
4 4 1 2552410.335872999 594728.3718290002

