i s j r m
2 1 2 1 11501836.019857006
2 1 3 1 300087.9372639875
2 1 1 1 280594.1374920002
2 1 4 1 369629.82790600305
3 1 2 1 327215.08111502347
3 1 3 1 4988022.4563121
3 1 1 1 133661.1095599982
3 1 4 1 229954.9323999982
1 1 2 1 349115.2625230011
1 1 3 1 144888.60974399967
1 1 1 1 7554110.467900998
1 1 4 1 150897.13858499986
4 1 2 1 464287.2611779974
4 1 3 1 208447.9767510013
4 1 1 1 199685.9051150001
4 1 4 1 2318737.5975539973

