i j r c x
2 2 1 14114653.730679957 3764512.265706985
2 3 1 256323.7354129996 116969.42748599961
2 1 1 121228.7555899999 72072.26578599999
2 4 1 202678.6367479998 47533.57647600003
3 2 1 149561.9125789991 142105.5130799993
3 3 1 4838288.459867945 2043257.2825960137
3 1 1 36523.73371200003 40687.82801399996
3 4 1 72546.64276400005 45892.25520199997
1 2 1 199262.08126399992 163997.79304800002
1 3 1 165358.80646200007 108564.09671000006
1 1 1 10321087.927977001 2227920.482358
1 4 1 118111.475244 36234.65000999999
4 2 1 226585.63252400013 118049.38109500003
4 3 1 98270.81478600006 71737.08263900009
4 1 1 60142.776891999994 33660.059526000005
4 4 1 3579791.383027999 980438.2708989999

