i s j r m
2 1 2 1 21462237.441698942
2 1 3 1 1200926.5209910779
2 1 1 1 549324.8085160012
2 1 4 1 962479.7619930041
3 1 2 1 1137640.9873821696
3 1 3 1 22731672.03975023
3 1 1 1 391697.606756005
3 1 4 1 1072041.4818990072
1 1 2 1 570575.350840999
1 1 3 1 503038.53863699746
1 1 1 1 10306379.359677002
1 1 4 1 376945.3527389996
4 1 2 1 1259937.7789120146
4 1 3 1 785916.2279680062
4 1 1 1 336565.8816000005
4 1 4 1 8847927.62242897

