i j r c x
2 2 1 16993918.487023104 3894376.8599389917
2 3 1 357284.94695700577 164283.8926409996
2 1 1 136636.58827699977 66635.99593499998
2 4 1 281850.7068689995 40894.02980700003
3 2 1 185780.19598699777 192333.25366799973
3 3 1 7681074.904514903 3808652.643185962
3 1 1 46792.641983 53236.23226399999
3 4 1 119019.35280499984 68259.63046700007
1 2 1 170722.57979900006 113156.63327200012
1 3 1 188746.816726 138278.51576500005
1 1 1 11942427.93782 1833170.1398489997
1 4 1 131407.09334 25968.143805999996
4 2 1 280616.37627700035 196377.43321900003
4 3 1 153338.6418660001 138750.90581399994
4 1 1 77450.88092 52117.25416099999
4 4 1 5599601.688982999 1811117.942402

