i s j r m
2 1 2 1 18835203.58166963
2 1 3 1 727220.8326110132
2 1 1 1 381938.4843920001
2 1 4 1 758747.4367129913
3 1 2 1 746774.9946820653
3 1 3 1 16051406.52053288
3 1 1 1 236693.14226099948
3 1 4 1 658472.2867770055
1 1 2 1 408993.7689760014
1 1 3 1 297746.94417999854
1 1 1 1 9625187.452586995
1 1 4 1 304756.0162350008
4 1 2 1 990973.9692310035
4 1 3 1 595969.1549919976
4 1 1 1 350612.45844799984
4 1 4 1 6243128.935404988

