i s j r m
2 1 2 1 12275066.777866041
2 1 3 1 235463.17749299452
2 1 1 1 228785.36277399986
2 1 4 1 268168.77503299987
3 1 2 1 241701.14044696654
3 1 3 1 3640906.997472906
3 1 1 1 94560.99149199811
3 1 4 1 110477.23607699879
1 1 2 1 261470.68782400002
1 1 3 1 95152.3669059996
1 1 1 1 5564804.289389002
1 1 4 1 103957.0223280001
4 1 2 1 399022.6303690019
4 1 3 1 107542.97456999899
4 1 1 1 197436.20036700025
4 1 4 1 2199233.017995

