i j r c x
2 2 1 9587972.514124 2644113.70765199
2 3 1 135197.82688899743 54735.55628400033
2 1 1 99319.33389999988 61975.55775000001
2 4 1 125393.38474700008 35830.21817799995
3 2 1 80395.1484029988 85906.31603299985
3 3 1 3202410.3350268826 1067555.0085380038
3 1 1 34045.62015400003 32969.97560899999
3 4 1 35737.336114000085 18878.580087000028
1 2 1 154291.17210000008 144909.139139
1 3 1 112181.65638600005 78660.55156000002
1 1 1 8333376.97981 1707001.388724
1 4 1 85985.49220000001 30272.349342000005
4 2 1 115008.05046800004 90133.80659200018
4 3 1 38759.84840799998 38908.495836999944
4 1 1 44759.99568700001 28516.659322
4 4 1 2508203.60222 598317.1317319998

