i s j r m
2 1 2 1 11591429.852145428
2 1 3 1 250981.2205419737
2 1 1 1 263497.37325300125
2 1 4 1 290404.41691000154
3 1 2 1 268747.6211859996
3 1 3 1 3988641.852284862
3 1 1 1 125852.15435499797
3 1 4 1 136663.42132899916
1 1 2 1 319685.5225170015
1 1 3 1 123649.8856259999
1 1 1 1 7051572.745914003
1 1 4 1 134643.71206400002
4 1 2 1 389772.8410380014
4 1 3 1 126489.84601899928
4 1 1 1 210392.03314700007
4 1 4 1 2349823.6789589967

