i s j r m
2 1 2 1 17223851.952627525
2 1 3 1 682217.2536060127
2 1 1 1 378352.1100569997
2 1 4 1 805843.2822099956
3 1 2 1 708564.0841130714
3 1 3 1 10333201.467008468
3 1 1 1 215267.33427399833
3 1 4 1 594023.3514319974
1 1 2 1 493722.47891499905
1 1 3 1 317965.3971379993
1 1 1 1 9850236.742279014
1 1 4 1 358833.0712120005
4 1 2 1 863037.0657269941
4 1 3 1 559591.7400750018
4 1 1 1 345109.82226099964
4 1 4 1 3946668.7195240003

