i s j r m
2 1 2 1 11048634.32155504
2 1 3 1 254186.21040297628
2 1 1 1 257940.82001599943
2 1 4 1 232276.49663100045
3 1 2 1 265288.2494229948
3 1 3 1 3988521.7788203587
3 1 1 1 117970.63861799793
3 1 4 1 104175.37532099873
1 1 2 1 302383.1979140008
1 1 3 1 117431.55957300107
1 1 1 1 6641659.639770005
1 1 4 1 99426.63377399997
4 1 2 1 348663.09980900085
4 1 3 1 121582.54033799923
4 1 1 1 201906.25847400012
4 1 4 1 2371066.2549150027

