i s j r m
2 1 2 1 19372684.836138602
2 1 3 1 863702.1019540329
2 1 1 1 415654.11020299885
2 1 4 1 906899.2878170053
3 1 2 1 860256.7683060792
3 1 3 1 13187968.673754206
3 1 1 1 254578.09353299992
3 1 4 1 709261.7544349995
1 1 2 1 507937.486078002
1 1 3 1 351781.2741900029
1 1 1 1 10419927.938593008
1 1 4 1 389470.72690199973
4 1 2 1 1082366.421721994
4 1 3 1 643281.9069280024
4 1 1 1 399206.20206700003
4 1 4 1 4668060.171356014

