i j r c x
2 2 1 10704035.353256067 3294355.4633630095
2 3 1 118632.42950999636 28805.312103000175
2 1 1 80793.27332599988 51246.05547399999
2 4 1 88682.2626599998 25602.925006000038
3 2 1 71946.13971699897 80501.00373399943
3 3 1 2571912.3455800163 981448.2000680035
3 1 1 23796.91819 23271.258437999997
3 4 1 26264.926680000044 8714.629486000002
1 2 1 96252.13722300004 109753.56167800001
1 3 1 69612.71960899998 30617.293920000026
1 1 1 5926949.175618999 1218234.1892739998
1 4 1 47489.886218 21947.138796999992
4 2 1 110572.75248399998 126077.31519800001
4 3 1 27544.247432 25405.797909999987
4 1 1 39382.30555800001 25952.957455000007
4 4 1 2458210.4415220004 644548.4668120003

