i s j r m
2 1 2 1 11231915.116435418
2 1 3 1 258916.89319498427
2 1 1 1 271836.288995
2 1 4 1 239967.654473
3 1 2 1 282536.59403599665
3 1 3 1 4298443.488827825
3 1 1 1 126512.5050299985
3 1 4 1 109666.95251199811
1 1 2 1 303874.8687709997
1 1 3 1 117725.67254200041
1 1 1 1 6267415.6938759945
1 1 4 1 106754.94854699998
4 1 2 1 392569.3831280015
4 1 3 1 119840.57239299983
4 1 1 1 211713.68884700004
4 1 4 1 2449244.1736419946

