i j r c x
2 2 1 9819648.56032301 2914715.2000309816
2 3 1 120877.30659699807 36612.76211200013
2 1 1 95346.33259200006 67980.40902100001
2 4 1 70877.05675500009 16750.470517999995
3 2 1 81474.27834199902 78432.16707400011
3 3 1 3034246.074504893 1165945.1090590048
3 1 1 29951.902431000002 31565.93999599999
3 4 1 22297.068769000067 4304.522515999999
1 2 1 118575.20365599998 124821.43205499994
1 3 1 88729.38057299994 44142.00780500004
1 1 1 6550581.803075 1447685.4351670004
1 4 1 46760.66721700002 18605.733141
4 2 1 107465.73529699989 90529.10134700003
4 3 1 28869.16920300002 25606.382767999978
4 1 1 39223.020619999996 28441.206755999996
4 4 1 2742891.1498550004 715663.2104410003

