i j r c x
2 2 1 19013617.19004385 4601199.153949008
2 3 1 490034.86566400086 228543.2386809998
2 1 1 171732.1294200002 98789.90130100002
2 4 1 347433.7682910009 48846.02598999996
3 2 1 276272.92291100067 241180.21364900077
3 3 1 10663687.469785042 5782164.304346942
3 1 1 85295.50917199983 73958.7472990001
3 4 1 171793.45749599958 86951.68576899993
1 2 1 213327.0739530002 147379.5905919999
1 3 1 243474.3179749998 181489.8526359998
1 1 1 12550153.839129 2220513.023064
1 4 1 137323.85917799996 25431.46763799999
4 2 1 392143.00894499995 193140.60378600002
4 3 1 223563.40185799997 202678.01541000034
4 1 1 80719.62530900001 52989.89946499999
4 4 1 7526875.947091002 2499873.0654919995

