i j r c x
2 2 1 12018383.742800038 3101562.908995999
2 3 1 175411.85619499485 77786.14951700001
2 1 1 107222.20368499964 62296.208987000005
2 4 1 157745.78795899963 36759.52048400002
3 2 1 107339.9688959987 115334.33965399959
3 3 1 3688297.839883896 1369341.266675015
3 1 1 32561.939436000026 31545.149560000016
3 4 1 43668.58191400003 28106.72483900001
1 2 1 178864.56295400005 147183.4015140001
1 3 1 131509.40209699995 94642.45823000009
1 1 1 9154125.146122 1783997.730651
1 4 1 98744.13780000001 31725.35878
4 2 1 161539.0694819998 107295.4554029999
4 3 1 58562.97441800001 41917.26647500001
4 1 1 43285.55420400001 25772.891720000003
4 4 1 2779866.4304649998 678732.7590509997

