i s j r m
2 1 2 1 15465517.926733177
2 1 3 1 503135.67577502184
2 1 1 1 315599.74853899836
2 1 4 1 539896.8478300018
3 1 2 1 531928.3998300532
3 1 3 1 6884607.72420178
3 1 1 1 166996.28888399963
3 1 4 1 389522.39720699936
1 1 2 1 425239.09222
1 1 3 1 228771.33437199955
1 1 1 1 8455043.36722499
1 1 4 1 241919.88588299992
4 1 2 1 694027.0790789993
4 1 3 1 329905.3633349995
4 1 1 1 261209.42759300017
4 1 4 1 2978269.4919329965

