i j r c x
2 2 1 17643441.323548965 4834815.084640011
2 3 1 389210.4866820059 197951.8138640001
2 1 1 155740.37240200018 86590.08470700007
2 4 1 339580.7368950007 63036.973790999946
3 2 1 242582.11415099772 242372.25010400027
3 3 1 7863125.940638894 3858102.730860969
3 1 1 53640.61273499999 60731.60135100002
3 4 1 135185.7230859998 63069.03027999994
1 2 1 213621.28525700024 160471.63584199993
1 3 1 196517.32506000006 151804.86729200004
1 1 1 11946464.998643002 2268080.6874029995
1 4 1 158231.489875 37627.998305
4 2 1 368103.0976720004 225914.82396900016
4 3 1 207569.84566300001 157527.74087000015
4 1 1 85652.94125299997 56916.59826600001
4 4 1 5738943.804272002 1896615.7758219996

