i j r c x
2 2 1 17448817.04530508 4150374.9342700047
2 3 1 415261.7108260077 193806.8211949988
2 1 1 152961.2811500003 85478.96175300005
2 4 1 320601.71236299997 49474.82779199998
3 2 1 220117.56203399997 239561.7616269998
3 3 1 9113603.941248925 4695944.019857976
3 1 1 64083.13360300007 68906.14156099998
3 4 1 152217.3437140003 99552.77984599998
1 2 1 202610.722272 131760.76684800006
1 3 1 216575.34606000019 158686.9153090001
1 1 1 12223979.872586 2006127.558772
1 4 1 129699.08885 28468.309
4 2 1 349371.86030400085 221309.11698900012
4 3 1 190973.6829239996 186811.33419800003
4 1 1 72639.403362 56762.836461
4 4 1 6333541.573181002 2019337.1770539994

