i j r c x
2 2 1 10230888.642333135 2882616.636241988
2 3 1 123574.00167399677 48249.726414000164
2 1 1 93086.73740099996 71726.46187700002
2 4 1 104009.9575099999 31405.76006800002
3 2 1 72556.89078100002 77064.04544499966
3 3 1 2806701.719780962 950970.9193019993
3 1 1 29399.191731000054 29218.59482099999
3 4 1 25990.107369999998 11082.343148000002
1 2 1 141891.29225300034 145055.94705199997
1 3 1 96278.00400400012 60075.923364999966
1 1 1 7400555.060850001 1674873.0208650008
1 4 1 64809.794331 25726.632019000008
4 2 1 113714.32317799996 89229.49911699991
4 3 1 31413.459989999945 26880.947743999965
4 1 1 42777.097625 23339.436203999994
4 4 1 2532395.85936 626589.618184

