i j r c x
2 2 1 13618023.223922146 3575522.8932250105
2 3 1 217181.9933789987 99562.59688099983
2 1 1 114227.71262399985 66182.24540099998
2 4 1 181210.21467399932 43259.65946499994
3 2 1 133581.68703499637 133912.1178589995
3 3 1 4146237.4294588985 1726453.2467340156
3 1 1 33263.48210000006 36211.05658499998
3 4 1 56921.762754000076 33423.019504000054
1 2 1 193124.72466000033 153749.16297000003
1 3 1 146249.22685799995 98891.26238799993
1 1 1 9706908.518995 2029626.7073039995
1 4 1 103936.84657800003 33115.584693000004
4 2 1 194237.75010200022 110471.59588799994
4 3 1 73765.54939999986 54471.52478700006
4 1 1 52903.91683100001 26538.628800000002
4 4 1 3202630.1526079993 816338.7256589999

