i j r c x
2 2 1 14579219.402964078 4022320.624524997
2 3 1 296682.6851129996 145679.1960449986
2 1 1 130494.883136 79063.35279400008
2 4 1 222823.09357699973 47748.687343000114
3 2 1 177882.40668599837 166544.41185100033
3 3 1 5590514.974375856 2485815.1956159854
3 1 1 41797.276482000045 49415.04683900001
3 4 1 82637.47227499989 39866.47139099992
1 2 1 208829.61669799982 172571.9498190001
1 3 1 187476.0887930001 127396.44055200013
1 1 1 10895628.145975 2385156.9336979995
1 4 1 129645.795186 36110.31046100001
4 2 1 251457.54846399993 130186.66715099983
4 3 1 128135.44285400001 90612.32304599992
4 1 1 68195.11269699999 41205.34917200001
4 4 1 4058649.0491529997 1182867.4729620004

