i j r c x
2 2 1 10486791.066986958 3114944.747968982
2 3 1 118129.05200199632 31236.556250000092
2 1 1 83917.14428699992 55235.57962900004
2 4 1 95751.86247599986 29765.355242000005
3 2 1 73645.7579560001 83447.92000199982
3 3 1 2891178.0731349746 1105684.603205006
3 1 1 25050.121391000048 27793.021391000006
3 4 1 29607.019463000015 9622.274499999981
1 2 1 103774.07004500003 109762.76846599996
1 3 1 73315.48668800002 35755.03889800002
1 1 1 6236963.123299 1315607.9025299996
1 4 1 51797.271508 25317.46748199999
4 2 1 115231.19754600004 121364.77367600008
4 3 1 31555.560461999965 30105.025482000026
4 1 1 40001.122492 28165.177047000005
4 4 1 2612331.0704220003 671868.2104629999

