i s j r m
2 1 2 1 21246832.878692005
2 1 3 1 955183.1848790478
2 1 1 1 450226.5538410035
2 1 4 1 1180301.8784280044
3 1 2 1 955497.7663800592
3 1 3 1 16025268.841846157
3 1 1 1 283091.0115830001
3 1 4 1 900708.5057820078
1 1 2 1 542518.0165250017
1 1 3 1 382181.72426000115
1 1 1 1 10708647.63961999
1 1 4 1 494670.443029
4 1 2 1 1295431.6327649974
4 1 3 1 822536.2938110033
4 1 1 1 409248.85975000163
4 1 4 1 6037894.7691390095

