i j r c x
2 2 1 16149101.982003044 4575337.842464006
2 3 1 349912.42465099995 173924.6800340004
2 1 1 143448.27554899984 87379.23022299999
2 4 1 261064.99201000066 58362.25804699996
3 2 1 220167.53633300008 196630.4688309995
3 3 1 6830837.7218128 3146711.7487969846
3 1 1 48374.76743999996 55458.40503699997
3 4 1 104405.87741099954 49320.982039000046
1 2 1 218508.43346000012 171507.91628500007
1 3 1 198605.3952919999 146046.98022200013
1 1 1 11480241.783935998 2364170.948887
1 4 1 139689.596948 37854.95796500001
4 2 1 315158.2759469999 160335.42129999958
4 3 1 179835.64724499948 120603.10334799984
4 1 1 80142.79873400001 46683.52473900001
4 4 1 4772342.227002 1482302.9324530002

