i s j r m
2 1 2 1 11136482.815133305
2 1 3 1 285047.6742809739
2 1 1 1 272936.9779980015
2 1 4 1 378759.7952029992
3 1 2 1 306033.2661250233
3 1 3 1 4603432.506495258
3 1 1 1 133641.61414399912
3 1 4 1 207907.81947999907
1 1 2 1 344583.34353499906
1 1 3 1 131284.81417999964
1 1 1 1 7610477.098113999
1 1 4 1 170549.50884800035
4 1 2 1 428197.1721499995
4 1 3 1 175314.3291739998
4 1 1 1 216503.8274809998
4 1 4 1 2389850.667870996

