i j r c x
2 2 1 9762272.084283045 2803401.8768240055
2 3 1 118788.479704997 40179.40046500024
2 1 1 91517.13667799965 67754.65248700003
2 4 1 80824.156436 22894.574917
3 2 1 79017.3008149982 79467.28506699982
3 3 1 2867127.5730669876 945828.721499004
3 1 1 30242.822689000022 28156.75138300001
3 4 1 24471.982132 7344.9993369999975
1 2 1 126181.54670799988 129317.77765799998
1 3 1 92534.99790400005 48336.956484000024
1 1 1 6926039.289128 1554332.2162890008
1 4 1 52123.74196399998 20007.440684
4 2 1 116074.43091400013 94182.54358999993
4 3 1 31662.301721999986 28957.461414999994
4 1 1 41426.909326 27239.914745000002
4 4 1 2593354.6088110004 656513.4179560002

