i s j r m
2 1 2 1 16317048.641051661
2 1 3 1 584839.3963510263
2 1 1 1 340520.6671469997
2 1 4 1 678540.9692730068
3 1 2 1 590729.2680570867
3 1 3 1 8409552.827298902
3 1 1 1 182931.9773990002
3 1 4 1 498918.6681910007
1 1 2 1 460087.8136389995
1 1 3 1 268906.8417859994
1 1 1 1 9336246.362306
1 1 4 1 314329.6833970001
4 1 2 1 790209.0024329985
4 1 3 1 435550.98146100185
4 1 1 1 299243.1997920005
4 1 4 1 3443928.839530002

