i s j r m
2 1 2 1 19720159.854395106
2 1 3 1 951683.3758400488
2 1 1 1 492743.02181900135
2 1 4 1 882421.2058269931
3 1 2 1 903887.7553110602
3 1 3 1 19174601.88180429
3 1 1 1 320624.6232330013
3 1 4 1 902275.5364349993
1 1 2 1 517066.8728359981
1 1 3 1 425078.32171900105
1 1 1 1 9945540.21334801
1 1 4 1 332581.05763699993
4 1 2 1 1178471.6728219995
4 1 3 1 735916.9919880023
4 1 1 1 320258.8972100001
4 1 4 1 7037793.315051993

